機種,台松料號,材料代號,中文名稱,同行價,修理價,顧客自購價,維修工時
NR-B46KA,NR30010-0163,30010-0163,下鐵門紙箱,350,650,450,1
NR-350FG,NR30010-0164,30010-0164,下鐵門紙箱,400,700,500,1
NR-B59XE-R,30010-0170,30010-0170,送風馬達固定架(對策品),20,890,40,F.40
NR-B23RD-S,NRB740-0060,30010-0174,冰箱用膠帶(12M/M),200,790,300,C.20
UR-P48VB1,NR04-064051,30010-0176,門墊片(薄),20,890,40,F.40
TR-D720BF,NRB740-0150,30010-0178,冰箱用藍色膠帶(50M/M),500,1090,650,C.20
UR-P56VE1,NRAK-115621,30010-0181,頂保利龍(右),30,620,50,C.20
SCR-93V56D,NRAK-126680,30010-0182,頂保利龍(左),30,620,50,C.20
NR-B70HC-G,NR50-13441,30010-0185,回風口貼付三角保麗龍,30,480,50,A.10
UR-P61VC1,NRB710-0320,30010-0187,束帶,20,470,40,A.10
TR-D720BF,NRCE-2KSS,30010-0188,接線端子頭(小),20,470,40,A.10
UR-P61VC1,NRAD-265860,30010-0189,右上鐵門下卡榫,20,610,40,C.20
UR-P61VC1,NRAD-265881,30010-0190,上鐵門卡筍鐵片,20,610,40,C.20
UR-P61VC1,NRB140-0090,30010-0191,黑膠(1卷),400,990,540,C.20
UR-P61VC1,NRAC-146360,30010-0192,乾燥劑貼付海棉紙,20,470,40,A.10
SCR-93V56D,NRAD-267321,30010-0193,左上鐵門下卡榫,20,610,40,C.20
TR-D720BF,NRCE-5KSS,30010-0194,接線端子頭(大),20,890,40,F.40
SCR-93V55B,NRAJ-140590,30010-0195,出風口泡棉條8M/M,30,480,50,A.10
SCR-4896S,NRAD-267210,30010-0196,節能標章,20,470,40,A.10
UR-P56VE1,NRAK-115631,30010-0222,頂保利龍(左),30,620,50,C.20
NR-B70HC-W,NRSJ3080,30010-0229,鐵門包裝保利龍(套角),30,330,50,1
NR-18SF,NRIPC502,30010-0230,計時器紙盒,20,320,40,1
UR-P56VE1,NRAJ-113701,30010-0232,出風口海棉,20,470,40,A.10
UR-P56VE1,NRAJ-140640,30010-0233,出風口海棉,20,470,40,A.10
SCR-V5298,NRAJ-140651,30010-0234,風扇馬達密封條,20,470,40,A.10
NR-F566MV-V,NRAH-246960,30010-0244,AG標籤貼紙,30,480,50,A.10
NR-C476HV-S,NRAH-246950,30010-0245,AG標籤貼紙,30,480,50,A.10
UR-P56VE1,NRAJ-140490,30010-0255,風扇馬達密封條,20,470,40,A.10
NR-F563MV-V,NRAK-138810,30010-0260,頂保利龍(左),40,630,60,C.20
NR-F563MV-V,NRAK-138801,30010-0270,頂保利龍(右),40,630,60,C.20
NR-E563MV-V,NRAK-138820,30010-0280,頂保利龍(左),40,630,60,C.20
UR-P61VC1,NRAJ-113620,30010-0290,門膠條扣子,20,470,40,A.10
UR-P61VC1,NRAH-132670-NW,30010-0300,螺絲蓋,20,470,40,A.10
NR-F552HV-V,NRAC-205930,30010-0310,IC門開關連桿,20,890,40,F.40
UR-P61VC1,NRAJ-140760,30010-0320,FC風扇馬達密封條,30,480,50,A.10
,1090*700*170,30010-0330,冰箱B238T下鐵門,450,900,600,A.10
,1310*780*180,30010-0340,冰箱B483TV下鐵門,600,1050,750,A.10
,1330*850*180,30010-0350,冰箱B585下鐵門,600,1050,750,A.10
,1160*750*170,30010-0360,冰箱B60HEV上鐵門,600,1050,750,A.10
,1160*848*178,30010-0370,冰箱C60HEV上鐵門,600,1050,750,A.10
,840*600*165,30010-0380,冰箱C70上鐵門,450,900,600,A.10
,840*490*165,30010-0390,冰箱C70下鐵門,350,800,450,A.10
,700*650*260,30010-0400,冰箱出風窗,450,900,600,A.10
,700*180*110,30010-0410,冰箱肉盤蓋(大),300,750,400,A.10
,700*180*80,30010-0420,冰箱肉盤蓋(下),300,750,400,A.10
,500*500*120,30010-0430,冰箱冷凝器,350,800,450,A.10
,840*125*85,30010-0440,冰箱門飾板(大),300,750,400,A.10
,740*60*65,30010-0450,冰箱門飾板(下),300,750,400,A.10
,1010*560*220,30010-0460,冰箱風門調溫器(大),450,900,600,A.10
,810*559*151,30010-0470,冰箱風門調溫器(小),350,800,450,A.10
,100*70*80,30010-0480,冰箱送風馬達,30,480,50,A.10
,464*40*3,30010-0490,冰箱除霜加熱器/EPC009,30,480,50,A.10
,245*174*70,30010-0500,冰箱基板1號,30,480,50,A.10
,695*515*165,30010-0510,冰箱控制盒(新),350,800,450,A.10
,763*384*145,30010-0520,冰箱控制盒(舊),300,750,400,A.10
,358*1590*40,30010-0530,冰箱透明玻璃盤(大),50,500,90,A.10
,490*490*358,30010-0540,冰箱透明玻璃盤(小),50,500,90,A.10
,535*295*265,30010-0550,冰箱菜皿,300,750,400,A.10
,400*200*160,30010-0560,冰箱蒸發皿,90,540,150,A.10
,270*210*240,30010-0570,冰箱壓縮機(大),50,500,90,A.10
,270*210*190,30010-0580,冰箱壓縮機(中),50,500,90,A.10
UR-P58VB8,NRAJ-141630,30010-0590,FC門軸泡棉,20,470,40,A.10
NR-C489TV-K,NRAJ-141640,30010-0600,FC門軸泡棉,20,470,40,A.10
UR-P61VC1,NRAJ-141491,30010-0610,PC門軸泡棉,20,470,40,A.10
NR-C479HV,NRAJ-141020,30010-0620,FC兩側泡棉,20,470,40,A.10
UR-P61VC1,NRAJ-141030,30010-0630,FC兩側泡棉(450*10*3),20,470,40,A.10
UR-P58VB8,NRAJ-141520,30010-0640,FC下方泡棉,20,470,40,A.10
NR,115X80X80,30010-0650,鐵門包裝小角,30,330,50,1
NR,90X90,30010-0660,透明盤包裝氣泡布片,30,330,50,1
NR,89+89X52,30010-0670,鐵門包裝氣泡袋(小),90,390,150,1
NR,110+110X72,30010-0680,鐵門包裝氣泡袋(中),90,390,150,1
NR,135+135X96,30010-0690,鐵門包裝氣泡袋(大),120,420,200,1
NR-B659TV,1330X880X180,30010-0700,B659TV下鐵門紙箱,700,1000,850,1
NR,763X414X145,30010-0710,冰箱保鮮盒紙箱,300,600,400,1
NR-D61CGS-N,NRAJ-142070,30010-0720,PC L門泡棉,20,470,40,A.10
NR-D61CGS-N,NRAJ-141780,30010-0730,PC R門泡棉,20,470,40,A.10
NR-D611XV-W,NRAD-350640,30010-0740,冷藏門卡筍鐵片,20,470,40,A.10
NR-D611XGS-T,NRAJ-141121,30010-0750,PCC感知器泡棉(對策用),20,750,40,E.30
NR-B659TV,NRAF-193660,30010-0760,鋁箔紙100*120MM(對策用),20,750,40,E.30
NR-D61CGS-N,NRAF-194031,30010-0770,鋁箔紙300*300MM(對策用),30,760,50,E.30
NR-B659TV-S,NRAH-291312,30010-0780,四合一能效標章,30,550,50,B.15
NR-C489TV-S,NRAH-291752,30010-0790,四合一能效標章,30,550,50,B.15
NR-C610HV-S,NRAH-292952,30010-0800,四合一能效標章,30,550,50,B.15
TR-C1618VPN,NRAD-346521,30010-0810,節能標章貼紙,20,540,40,B.15
NR-D61CGS-N,NRAJ-142090,30010-0820,冷凍門底邊泡棉,20,540,40,B.15
NR-C619NHGS-N,NRAJ-142080,30010-0830,冷藏門側邊泡棉,20,540,40,B.15
TR-C1618VPN,NRAH-294500,30010-0840,能源標章,30,550,50,B.15
TR-C1618VPN,NRAH-293210,30010-0850,服務貼紙,20,540,40,B.15
HRE-B4823V,NRAH-294140,30010-0860,能效標章,30,550,50,B.15
KR-248V03,NRAH-294130,30010-0870,能效標章,30,550,50,B.15
UR-P61VD8,NRAD-348951,30010-0880,門擋片,20,540,40,B.15
UR-P481VC,NRAH-294520,30010-0890,能效標章,30,550,50,B.15
UR-P481VC,NRAJ-141900,30010-0900,FC門襯泡棉(HINGE側),20,540,40,B.15
UR-P481VC,NRAJ-141880,30010-0910,FC門襯泡棉(BOT),20,540,40,B.15
UR-P481VC,NRAH-293140,30010-0920,服務標籤,20,540,40,B.15
,NR30010-0930,30010-0930,上門磁條紙箱,450,970,600,B.15
,NR30010-0940,30010-0940,上門磁條紙箱-大,450,970,600,B.15
,NR30010-0950,30010-0950,下門磁條紙箱,350,870,450,B.15
NR-B480TV-A,NRAH-293150,30010-0960,能源效率標章貼紙,30,550,50,B.15
NR-D61CGS-N,NRAJ-140910,30010-0970,螺絲,20,540,40,B.15
UR-P58VB1,NR08-217841A,30010-0980,六角螺絲,20,540,40,B.15
NR-C70HEV-W,30010-0990,30010-0990,30450-白盒,50,570,90,B.15
NR-B481TV-S,NRAH-294781,30010-1000,能源貼紙,30,550,50,B.15
NR-B582TV-S,NRAH-295151,30010-1010,B582TV能效標章貼紙,30,550,50,B.15
NR-D61CGS-N,NRBD-356220,30010-1020,防傾腳組立品,30,620,50,C.20
NR-B65CV-S,NRAC-247041,30010-1030,蔬菜桶滾輪,20,540,40,B.15
NR-B493TV-S,NRAH-296231,30010-1040,能效標章B493TV,30,550,50,B.15
NR-C501XGS-W,NRAH-293832,30010-1050,能效標章C501XGS,30,550,50,B.15
NR-C501XV-W,NRAH-293852,30010-1060,能效四合一標章C501XV,30,550,50,B.15
NR-D611XV-W,NR32-19730001275,30010-1070,泡棉,30,760,50,E.30
NR-D611XV-W,NR32-19710000505,30010-1080,泡棉,20,750,40,E.30
NR-C611XV-W,NRAH-293812,30010-1090,能效四合一標章,30,550,50,B.15
NR-D611XV-W,NRXTT4+12AFJ,30010-1100,螺絲,20,540,40,B.15
NR-D611XV-V1,NRAH-293802,30010-1110,能效標章,30,550,50,B.15
NR-B582TV-K,NRAJ-141920,30010-1120,FC門襯泡棉,20,540,40,B.15
NR-B582TV-K,NRAJ-141890,30010-1130,FC門襯泡棉,20,540,40,B.15
NR-D611XGS,NRAH-293782,30010-1140,四合一能效標章,30,550,50,B.15
NR-B651TV-S,NRAH-294821,30010-1150,四合一能效標章,30,550,50,B.15
NR-B582TV-K,NRBK21910130,30010-1160,橡膠泥,30,550,50,B.15
NR-D61CGS-N,NRAH-296461,30010-1170,四合一能效標章,30,550,50,B.15
NR-C611XGS-W,NRXTT4+20BFJ,30010-1180,螺絲,20,540,40,B.15
NR-300,NRIPC501,30020-4588,計時器紙盒,20,320,40,1
NR-C59XE-G,NR30020-4591,30020-4591,紙管　　　　　　　　　　　　　,30,330,50,1
NR-C59XE-G,NR30020-4601,30020-4601,燈泡包裝盒,20,320,40,1
NR-300,06-344990,30020-4611,計時器包裝盒,20,320,40,1
NR-D72HA-S,NR02DBAG5-2-MAT,30127-0010,濾波器,120,990,200,F.40
SCR-B6096,NRAG-115521,30128-0130,運轉電容器,90,960,150,F.40
NR-M560MG-H,NRAG-115511,30128-0140,運轉電容器,90,960,150,F.40
TR-D720BF,NRAG-116201,30128-0150,運轉電容器,90,960,150,F.40
NR-B239T-R,NRAG-116190,30128-0160,運轉電容器(12UF),90,960,150,F.40
NR-14NQA,NRAG-168840,30128-0170,運轉電容器(10UF),90,960,150,F.40
NR-M700MG-H,NRBG-124130,30210-0030,變壓器,90,960,150,F.40
NR-D72HB-TS,NRETPZ-J1798,30210-0040,變壓器,90,960,150,F.40
NR-A600HB-S,NRF3-048-002,30210-0050,變壓器,90,960,150,F.40
NR-D70HDV-W,NRBG-151490,30210-0070,濾波器,300,1170,400,F.40
NR-D70HEV-W,NRBG-151820,30210-0080,濾波器,300,1170,400,F.40
NR-D561H-S,NRAG-116501,30210-0090,變壓器,600,1470,750,F.40
SCR-V5298,NRBG-152280,30210-0100,濾波器,300,1170,400,F.40
NR-B52RD-S,NR06-345041,30301-0060,送風馬達7N,200,1360,300,H.60
NS-320SAC,NRAG-115100,30301-0090,送風馬達（１５Ｎ）大陸向,200,1360,300,H.60
NR-M700MG-H,NRBG-112900,30301-0160,控制盒風扇,250,1260,350,G.50
SCR-C6098,NRAG-115000,30301-0170,送風馬達(15N),200,1360,300,H.60
SCR-C6098,NRAG-114861,30301-0171,送風馬達支架,20,1180,40,H.60
TR-D720BF,NRAG-115441,30301-0180,送風馬達,250,1410,350,H.60
NR-A600HB-S,NRAG-108562,30301-0190,電動風門,350,1510,450,H.60
SCR-V5298,NRAG-145640,30301-0200,冷凍室送風馬達,350,1510,450,H.60
NR-D70HEV-W,NRAG-116070,30301-0210,脫臭風扇,200,1210,300,G.50
UR-P56VE1,NRBH-120454,30301-0220,抽水幫浦,400,1560,500,H.60
,NRAG-155190-X,30301-0230,壓縮機冷卻風扇,350,1360,450,G.50
UR-P56VE1,NRAG-155191,30301-0240,壓縮機冷卻風扇,300,1460,400,H.60
NR-B233T-SL,NRAG-168851,30301-0250,送風馬達-2800RPM,250,1410,350,H.60
SCR-92V56C,NRAG-169460,30301-0260,冷凍室送風馬達(線長 800MM),250,1410,350,H.60
UR-P58VB8,NRAG-168863,30301-0270,冷凍室送風馬達,250,1410,350,H.60
UR-P56VC1,NRAG-171740,30301-0280,冷凍室送風馬達,250,1410,350,H.60
NR-B239TV-R,NRAG-173340,30301-0290,冷凍室送風馬達,250,1410,350,H.60
NR-D619NHGS-T,NRAG-150931,30301-0300,VC冷卻風扇,200,1210,300,G.50
UR-P61VC1,NRARAGFA200031,30301-0310,送風馬達,250,1410,350,H.60
NR-D61CGS-N,NRBH-142591,30301-0320,給水馬達組立,300,960,400,D.25
NR-D505XV-W,NRBH-142601,30301-0330,給水馬達組立,300,960,400,D.25
NR-C582TV-S,NRAG-177860,30301-0340,送風馬達,250,1410,350,H.60
NR-B52RD-S,NR06-284270,30302-0030,扇葉(配合30301-0060正轉）,30,900,50,F.40
SCR-C6098,NRAG-106770,30302-0070,扇葉(Φ１２０ＭＭ反轉)-單品,20,890,40,F.40
SCR-C6098,NR08-201493,30302-0071,扇葉束圈,20,890,40,F.40
NS-190GA,NR06-320390,30302-0080,扇葉(配合30301-0150反轉),20,890,40,F.40
SCR-C6098,30302-0090,30302-0090,扇葉(大),30,900,50,F.40
NS-200WA,NR91-059000,30305-0430,壓縮機,1700,2150,2000,A.10
NR-380MF,NR91-129052,30305-0450,壓縮機,2000,2450,2300,A.10
NR-150DAI,91-042390,30305-0540,壓縮機,3200,3650,3450,A.10
TR-D720BF,NR91-169101,30305-0570,壓縮機-DB86C16RAT6-R02A0,2700,3150,3100,A.10
TR-C600BF,NR91-149201,30305-0600,壓縮機-DB73C,2250,2700,2600,A.10
NR-180DT-S,3140115789,30305-0620,壓縮機,2650,3100,3050,A.10
NR-B35RD-W,NR91-109071,30305-0630,壓縮機-SB48C9090RAT0,2000,2450,2300,A.10
SCR-V5298,NR91-126110,30305-0640,壓縮機-ENI68C13DCH,2300,2750,2650,A.10
SCR-92V56C,NR91-236420,30305-0650,壓縮機-EFI100,3100,3550,3550,A.10
UR-P58VB1,NR91-236825TAO,30305-0660,壓縮機-EFI100,2300,2750,2650,A.10
NR-B233T-SL,NR91-078290,30305-0670,壓縮機-SFH39C63RAU,1900,2350,2200,A.10
NR-B238T-SL,NRAB-117361,30305-0680,壓縮機-(LU60BY),2000,2450,2300,A.10
NR-D618NHV-L,NR91-236841TAO,30305-0690,壓縮機-(EEI100E13DCH),2200,2650,2550,A.10
UR-P61VC1,NR91-179630-A,30305-0700,壓縮機,3050,3500,3400,A.10
NR-B239T-R,NRARABCA105220,30305-0710,壓縮機,1800,2250,2100,A.10
NR-B65CV-S,NR91-239401TAO,30305-0730,壓縮機(ERI100E13DCH-AS0ECS),2650,3100,3050,A.10
NR-B239TV-R,NR91-176591-A,30305-0740,壓縮機(EEI91E13DFH-AQ0ECS),2300,2750,2650,A.10
UR-P61VC1,NR91-179981TAO,30305-0750,壓縮機(含冷凍油),2000,3160,2300,B.15
NR-C582TV-S,NRARABCA105901,30305-0760,壓縮機,1950,3110,2250,B.15
NR-D615XV-W,NR91-239560TAO,30305-0770,壓縮機,2200,2720,2550,B.15
NR-M590MG-H,NRBF-113703,30306-0010,壓縮機固定鐵板,350,1220,450,F.40
NR-D72HC-W,NRAF-124722-R,30306-0090,壓縮機保護蓋,300,750,400,A.10
NR-C59XE-R,NRAF-124622-R,30306-0100,壓縮機保護蓋,300,750,400,A.10
NR-C60HD-W,NRAF-124610-R,30306-0110,壓縮機保護蓋,300,750,400,A.10
NR-B70HD-W,NRAF-140940-R,30306-0130,壓縮機保護蓋,300,750,400,A.10
NR-F563MV-V,NRAF-112126,30306-0150,壓縮機保護蓋,350,800,450,A.10
SCR-93V48B,NRBF-137486,30306-0160,壓縮機固定鐵板,350,1220,450,F.40
UR-P58VB8,NRBF-137476,30306-0170,壓縮機固定鐵板,450,1320,600,F.40
NR-B133T-SL,NR05-345374Z,30306-0180,壓縮機固定鐵板,300,1170,400,F.40
UR-P48GB1,NRBF-155726,30306-0190,壓縮機固定鐵板,450,1320,600,F.40
KR-LN213-K,NRAF-124860,30306-7000,壓縮機保護蓋,50,500,90,A.10
NR-F566MV-V,NRAF-173160,30306-7010,壓縮機保護蓋,350,800,450,A.10
NR-C479HV-S,NRBF-137496,30306-7020,壓縮機固定鐵板,450,1320,600,F.40
UR-P56VE1,NRAF-173161,30306-7030,壓縮機保護蓋,350,800,450,A.10
NR-B138T-SL,NRAF-193620Z,30306-7040,壓縮機固定鐵板,300,1170,400,F.40
NR-D618NHV-L,NRBF-156640,30306-7050,壓縮機固定鐵板,600,1470,750,F.40
NR-D509NHGS-W,NRBF-158110,30306-7060,壓縮機固定鐵板,450,1320,600,F.40
NR-D61CGS-N,NRBC-342424,30306-7070,壓縮機後蓋組立件(含消音棉),450,900,600,A.10
NR-D505XGS-W,NRBC-342434,30306-7080,壓縮機後蓋組立件(含消音棉),450,1040,600,C.20
NR-D61CGS-N,NRBF-158093,30306-7090,壓縮機固定鐵板,500,1370,650,F.40
NR-D505XV-W,NRBF-158113,30306-7100,壓縮機底座組立,450,1460,600,G.50
NR-B582TG-T,NRBC-342744,30306-7110,壓縮機後蓋組件,450,970,600,B.15
NR-B481TG-N,NRBC-342444,30306-7120,壓縮機後蓋組件,450,970,600,B.15
NR-B651TG-T,NRBC-344322,30306-7130,壓縮機後蓋組件(含消音棉),450,970,600,B.15
NR-C493TV-S,NRBF-158791,30306-7140,壓縮機固定鐵板,450,1040,600,C.20
NR-C454HV-W1,NRBF-159001,30306-7150,壓縮機底座,450,1610,600,H.60
NR-C384HVL-W1,NRBF-156105,30306-7160,壓縮機底座,450,1610,600,H.60
NR-B493TG-W,NRAF-196430,30306-7170,壓縮機保護蓋,350,870,450,B.15
REF,NR06-246011,30310-0010,燈泡,20,470,40,A.10
NR-M700MG-H,NRAG-101291,30310-0070,燈泡(10W)FC.PC,20,470,40,A.10
TR-D720BF,NR06-537491,30310-0080,冷藏室燈泡,30,480,50,A.10
NR-230MF-S,NR06-858551,30310-0100,燈泡,30,480,50,A.10
UR-P58VB8,NRBG-209191,30310-0110,LED燈,90,680,150,C.20
NR-B23RD-W,NRAG-116340,30310-0120,燈泡,30,480,50,A.10
UR-P58VB1,NRBG-213500B,30310-0130,燈泡,50,500,90,A.10
NR-B409TV-S,NRBG-213500,30310-0131,燈泡組件,200,720,300,B.15
UR-P58VB1,NRAH-285770,30310-0140,燈泡固定座,20,610,40,C.20
NR-B65CV-S,NRBG-188194,30310-0150,LED燈,90,680,150,C.20
UR-P61VC1,NRBG-189742,30310-0160,冷藏室LED燈(左右側),90,680,150,C.20
UR-P61VC1,NRBG-189752,30310-0170,冷藏室LED燈(上),90,680,150,C.20
NR-B139T-R,NRAG-174040,30310-0180,燈泡(10W),90,540,150,A.10
NR-B239T-R,NRAH-288900,30310-0190,燈泡固定座,30,620,50,C.20
NR-C582TV-S,NRBG-211541,30310-0200,LED照明基板,90,610,150,B.15
NR-B23RD-W,NRAG-115731,30320-0020,除霜石英管（９０Ｗ）,120,1130,200,G.50
SCR-93V55B,NRAG-116411,30320-0030,除霜加熱器,200,1210,300,G.50
UR-P61VC1,NRAG-173750,30320-0040,除霜加熱器,200,1210,300,G.50
NR-D509NHGS-W,NRAG-178650,30320-0050,除霜加熱器,200,1070,300,F.40
NR-D61CGS-N,NRAG-178620,30320-0060,除霜加熱器,200,1070,300,F.40
KR-356VB01-ST,NRBG-176790,30320-0070,蔬果室加熱器,150,1160,250,G.50
NR-C619NHGS-N,NRBG-201540,30320-0080,蔬果室加熱器,150,1160,250,G.50
NR-D61CGS-N,NRBG-207170,30320-0090,蔬果室加熱器,150,950,250,E1.35
NR-C384HVL-W1,NRBG-189950,30320-0100,蔬果室加熱器,120,850,200,E.30
NR-500BF,NR46-389312,30333-0010,溫度保險絲,90,1100,150,G.50
NR-M690MF,NRAG-115090,30333-0020,雙金屬保險,90,1100,150,G.50
TR-D720BF,NR46-221195,30333-0160,溫度保險絲(無頭),50,1060,90,G.50
NR-M700MG-H,NR46-221193,30333-0170,溫度保險絲(有頭),50,1060,90,G.50
TR-D720BF,NRAG-115741,30333-0200,除霜石英管（１８０Ｗ）,120,1130,200,G.50
NR-M690MF,NRAG-106981,30333-0210,除霜石英管（２００Ｗ）,250,1260,350,G.50
NR-B23RD-W,NR46-228403,30333-0260,溫度保險絲,50,1060,90,G.50
NR-M700MG-H,NRAG-114940,30333-0270,冷藏室熱敏電阻(紅線白頭),50,1060,90,G.50
NR-M700MG-H,NRAG-114930,30333-0280,冷凍室熱敏電阻(白線白頭),50,1060,90,G.50
NR-M700MG-H,NRAG-114920,30333-0290,除霜熱敏電阻(黑線白頭),50,1060,90,G.50
NR-B23RD-W,NR46-228414,30333-0300,雙金屬保險絲,90,1100,150,G.50
NR-A600HB-S,NRBG-127241,30333-0320,冷藏室感溫器,50,1060,90,G.50
NR-B52RE-W,NRAG-115621,30333-0330,除霜石英管,120,1130,200,G.50
NR-D72HC-W,NRAG-115460-B,30333-0350,雙金屬保險(大陸向),90,1100,150,G.50
NR-D70HDV-W,NRAG-116080,30333-0360,除霜熱敏電阻(黑線),50,1060,90,G.50
SCR-V5298,NRAG-116090,30333-0370,冷凍室熱敏電阻(白線),50,1060,90,G.50
NR-B70HE-W,NRAG-116170,30333-0380,防凍電熱線,90,1100,150,G.50
NR-B70HE-W,NRAG-115913,30333-0390,除霜石英管,120,1130,200,G.50
NR-B70HE-W,NRBG-127695,30333-0400,溫度保險絲,50,1060,90,G.50
SCR-B4898,NR46-228415,30333-0410,雙金屬保險,90,1100,150,G.50
UR-P61VD8,NRBG-166842,30333-0420,冷藏室感溫器-綠線白頭,50,1060,90,G.50
SCR-V5298,NRAG-116300,30333-0430,除霜石英管 ( 180W ),120,1130,200,G.50
SCR-V5298,NRBG-167131,30333-0440,溫度保險絲,90,1100,150,G.50
NR-F551HV-V,NRBG-166850,30333-0450,冷凍室感溫器,50,1060,90,G.50
SCR-V5298,NRAG-116260,30333-0460,除霜熱敏電阻(白頭黑線),50,1060,90,G.50
NR-F552HV-V,NRBG-166851,30333-0470,冷凍室感溫器FCC,50,1060,90,G.50
SCR-93V55B,NRAG-159630,30333-0480,除霜熱敏電阻DFC,50,1060,90,G.50
NR-F552HV-V,NRAG-159650,30333-0490,切換室感溫器SCC,50,1060,90,G.50
SCR-93V55B,NRAG-160880,30333-0500,防凍電熱線,90,1100,150,G.50
UR-P58VB1,NRAG-176581,30333-0510,除霜石英管,200,1210,300,G.50
UR-P58VB8,NRBG-207890,30333-0520,溫度保險絲,90,1100,150,G.50
UR-P48GB1,NRAG-171770,30333-0530,除霜石英管,250,1260,350,G.50
UR-P48GB1,NRBG-207870,30333-0540,溫度保險絲,90,1100,150,G.50
NR-F566MV-V,NRBG-178350,30333-0550,冷凍室感溫器,50,1060,90,G.50
UR-P58VB8,NRAG-172920,30333-0560,除霜石英管,200,1210,300,G.50
KR-Q460B-W,NRAG-116280,30333-7010,除霜石英管,150,1160,250,G.50
SCR-B6098,NRAG-115870,30333-7020,除霜石英管固定座 ( 左 ),20,1030,40,G.50
SCR-B6098,NRAG-115880,30333-7030,除霜石英管固定座 ( 右 ),20,1030,40,G.50
,NRBG-172440-X,30333-7040,冷凍室感溫器,50,1060,90,G.50
NR-F563MV-V,NRBG-172440,30333-7050,冷凍室感溫器,50,1060,90,G.50
