機種,台松料號,材料代號,中文名稱,同行價,修理價,顧客自購價,維修工時
NR-B23RD-W,NR09-313557,30010-0005,頂保利龍(左),30,480,50,A.10
TR-C600BF,NRAK-114081,30010-0015,頂保利龍(右),30,480,50,A.10
NA-90R,NR30010-0019,30010-0019,瓶架紙箱(原排水管內箱),90,390,150,1
NR-C70XE-G,NR30010-0038,30010-0038,下鐵門紙箱VC,200,500,300,1
NR-D72HA,NR30010-0039,30010-0039,左鐵門紙箱,200,500,300,1
NR-A700MG,NR30010-0040,30010-0040,菜皿紙箱,200,500,300,1
NR-A680MD,NR30010-0043,30010-0043,PC/VC隔板/菜盤,200,500,300,1
NR-350FG,NR30010-0048,30010-0048,上鐵門紙箱,200,500,300,1
UR-P58VB8,NRAE-107660,30010-0050,冷凍室鐵門卡榫右),20,610,40,C.20
NR-B59XE-G,NR30010-0056,30010-0056,下鐵門紙箱,400,700,500,1
NR-16SF,NR30010-0057,30010-0057,送風馬達紙箱,30,330,50,1
NR-M700MG-H,NRAE-108620,30010-0058,下鐵門卡筍,20,890,40,F.40
NR-C70XD-G,NR30010-0059,30010-0059,中鐵門紙箱,300,600,400,1
NR-350FG,NR30010-0063,30010-0063,下鐵門紙箱,300,600,400,1
NR-C59XD-G,NR30010-0064,30010-0064,中鐵門紙箱,400,700,500,1
TR-D720BF,NRAK-114892,30010-0066,頂保利龍(右),30,480,50,A.10
NR-C70XE-G,NR30010-0067,30010-0067,下鐵門紙箱,200,500,300,1
NR-16SF,NR30010-0073,30010-0073,馬達紙箱,30,330,50,1
TR-D720BF,NRAK-114902,30010-0074,頂保利龍(左),30,480,50,A.10
NR-350FG,NR30010-0075,30010-0075,壓縮機紙箱（大）,50,350,90,1
NR-480MF,NR30010-0077,30010-0077,透明盤小紙箱,90,390,150,1
NR-C581T-G,NR30010-0078,30010-0078,壓縮機小紙箱,90,390,150,1
NR-M660MG,NR30432-000,30010-0079,控制盒紙箱,90,390,150,1
NR-A680MF,NR30569-000,30010-0080,透明盤大紙箱,120,420,200,1
NR-B70RC-S,NR30010-0088,30010-0088,PCM外殼紙箱,600,900,750,1
NR-C70HEV-W,30010-0090,30010-0090,品番重複,50,570,90,B.15
UR-P58VB8,NRAH-132822-NW,30010-0114,魚肉保鮮盒停止器,20,470,40,A.10
NR-C70XB,NRAK-103133,30010-0115,頂保利龍(左),30,620,50,C.20
UR-P58VB8,NRAK-114092,30010-0116,頂保利龍(左),30,480,50,A.10
NR-B23RD-W,NR09-313597,30010-0119,頂保利龍(右),30,480,50,A.10
NR-A600HA,NR30010-0120,30010-0120,下鐵門紙箱,200,500,300,1
NR-B35RD-W,NR09-332431,30010-0121,頂保利龍(左),30,620,50,C.20
UR-P58VB8,NRAE-116722,30010-0124,冷藏門卡筍鐵片,30,900,50,F.40
TR-D720BF,NRAE-116580,30010-0128,上鐵門卡筍(左),20,610,40,C.20
UR-P61VC1,NR32-19715011000,30010-0131,出風板密封條,20,470,40,A.10
NR-B70XE-G,NR30010-0140,30010-0140,上鐵門紙箱FC,300,600,400,1
NW-85BF,NR30010-0141,30010-0141,四個裝馬達紙箱,150,450,250,1
NR-D72HA,NR30010-0142,30010-0142,上鐵門紙箱,200,500,300,1
NR-D72HA,NR30010-0143,30010-0143,上鐵門左紙箱,200,500,300,1
NR-D72HB-TS,NRAF-124560,30010-0145,魚肉保鮮盒墊片,20,890,40,F.40
NR-180DT-S,3185230951,30010-0154,墊子用軸襯,30,900,50,F.40
NR-D72HC-W,NRAJ-113710,30010-0158,幅射冷卻板插梢上,20,890,40,F.40
NR-D72HC-W,NRAJ-113720,30010-0159,幅射冷卻板插梢下,20,890,40,F.40
NR-D70HEV-S,NR30010-0160,30010-0160,控制台/右上鐵門紙箱,300,600,400,1
NR-C70XD,NRAF-124830,30010-0161,吸振橡膠,20,890,40,F.40
