機種,台松料號,材料代號,中文名稱,同行價,修理價,顧客自購價,維修工時
SA-PM41P-S,B1ACCF000063,B4191-1500,電晶體,20,1300,40,K.90
SC-HTR210,B1BACG000023,B4191-1510,電晶體,50,1330,90,K.90
SC-HTR210,B1BCCG000002,B4191-1520,電晶體,50,1330,90,K.90
TH-P42G20W,B0BA01500003,B4191-1530,電晶體,30,1310,50,K.90
SA-AK330,B1AAKD000009,B4191-1540,電晶體,30,1310,50,K.90
TH-65PHD7UY,ERDS1FJ150,B4191-1550,電晶體,20,1300,40,K.90
UF-5100CST2-ALL,ECEA1CKA101B,B4191-1560,電晶體,30,1310,50,K.90
UB-8325-T,B1AACF000064,B4191-1570,電晶體,30,1310,50,K.90
SA-AK340,ERJ3GEYJ1R8V,B4191-1580,電阻,20,1300,40,K.90
SA-AK340,B0BA02600018,B4191-1590,二極體,20,1300,40,K.90
SC-HTB550GTK,ERJ3GEYJ1R0V,B4191-1600,電阻,20,1300,40,K.90
SA-PM33,ECA1EM470B,B4191-1610,電容器,30,1310,50,K.90
SA-PM33,ECA1VAM682XE,B4191-1620,電容器,150,1430,180,K.90
WV-BM1910P,B0BA01100004,B4191-1630,二極體,20,1300,40,K.90
SA-AK340,B1DEGM000026,B4191-1640,電晶體,90,1370,150,K.90
SA-HT540,ERG2SJ333P,B4191-1650,電阻,90,1370,150,K.90
SC-HTR210,B0ZAZ0000052,B4191-1660,二極體,50,1330,90,K.90
WZ-DS100NL,B0BC5R600003,B4191-1670,二極體,30,1310,50,K.90
SC-HTR210,B0EAMM000057,B4191-1680,二極體,30,1310,50,K.90
SH-FX67GT,B1ABCF000176,B4191-1690,電晶體,20,1300,40,K.90
TH-50PF20T,B0BC3R700004,B4191-1700,二極體,30,1310,50,K.90
SC-HTR210,B3PBA0000402,B4191-1710,光導晶體,30,1310,50,K.90
TH-42PWD8TK,B0HBSM000043,B4191-1720,二極體,90,1370,150,K.90
SA-PT570,B0JCPD000025,B4191-1730,二極體,30,1310,50,K.90
SA-PM39,UDZSTE176R2B,B4191-1750,穩壓二極体,30,1310,50,K.90
SA-DK20,F2A1V332A156,B4191-1770,電容器(5600MF),90,1370,150,K.90
SA-DK20,F2A1V562A157,B4191-1780,電容器 (3300MF),90,1370,150,K.90
SA-AK240,B0BA5R700008,B4191-1790,二極體,20,1300,40,K.90
SA-DK20,B0BA9R000007,B4191-1800,二極體,20,1300,40,K.90
RX-D29GT-S,MAZ40510MF,B4191-1810,二極體,50,1330,90,K.90
WR-DA7AP,B0BA4R600003,B4191-1820,二極體,20,1300,40,K.90
SA-AK310,B0BA01400041,B4191-1830,二極體,20,1300,40,K.90
SC-HTB550GTK,B0HBSM000054,B4191-1840,二極體,90,1370,150,K.90
WA-MA240N,MA2J11100L,B4191-1850,二極體,20,1300,40,K.90
WR-DA7AP,B0BA8R200005,B4191-1860,二極體,20,1300,40,K.90
SA-XH50GT,B0BC02700039,B4191-1870,二極體,30,1310,50,K.90
SC-HC37GT,B0EBNR000049,B4191-1880,橋式整流子,90,1370,150,K.90
SA-PT75,B3PBA0000454,B4191-1890,光電晶體,30,1310,50,K.90
SC-HC35GT,B3RAC0000017,B4204-0010,遙控接收子,90,520,150,E.30
RS-TR333,RTP1K4E015-V,B4210-0460,電源變壓器,350,780,450,E.30
RS-TR575,RTP1K4E028-V,B4210-1020,變壓器　　　　　　　　　　　　,500,930,650,E.30
SA-PM22,RTP1I3C001-V,B4210-1280,待機變壓器　　　　　　　　　　,150,580,250,E.30
SL-SX510,RFEA403Z-S,B4210-1290,電源轉換器220V4.5V,600,1030,750,E.30
SA-AK47,RTP1I3E001-V,B4210-1310,待機變壓器,90,520,150,E.30
SA-PM25,RTP1H3E001,B4210-1320,待機變壓器　　　　　　　　　　,120,550,250,E.30
SA-PM11,RTP1M3E026-T,B4210-1400,變壓器　　　　　　　　　　　　,1000,1430,1200,E.30
SA-VK540GC,ETP76VST618A,B4210-1480,電源變壓器,1400,1830,1700,E.30
SA-VK540GC,G4C2AAJ00001,B4210-1490,待機變壓器,120,550,200,E.30
SA-DX940,RTP1H5E002,B4210-1500,待機變壓器,200,630,300,E.30
SA-AK310,G4C7AFC00001,B4210-1520,電源變壓器,1500,1930,1800,E.30
SB-WA878,G4C2AAJ00005,B4210-1530,待機變壓器,90,520,150,E.30
